source_run,jev_total,jev_ok,jev_failed,jev_coverage,jev_comparable,jev_comparable_coverage,jev_compatibility_status,jev_wall_p50_ms,jev_wall_p95_ms,jev_upstream_p50_ms,jev_upstream_p95_ms,jev_failure_types,laya_total,laya_ok,laya_failed,laya_coverage,laya_comparable,laya_comparable_coverage,laya_compatibility_status,laya_wall_p50_ms,laya_wall_p95_ms,laya_upstream_p50_ms,laya_upstream_p95_ms,laya_failure_types,common_questions,accuracy_jev,brier_jev,nll_jev,score_mae_jev,prob_mae_jev,prob_rmse_jev,tv_jev,jsd_jev,accuracy_laya,brier_laya,nll_laya,score_mae_laya,prob_mae_laya,prob_rmse_laya,tv_laya,jsd_laya,semantic_jev_reference_top,semantic_jev_model_top,semantic_jev_gap,semantic_laya_reference_top,semantic_laya_model_top,semantic_laya_gap
run_20260919T201050Z_core,303,303,0,1.0,303,1.0,{'full_input': 303},332.4694170150906,572.6225915597751,99.0,165.69999999999993,{},303,303,0,1.0,297,0.9801980198019802,"{'full_input': 297, 'truncated_input': 6}",12.755499919876456,49.7121795779094,12.7555,49.71217939999999,{},441,0.9886621315192744,0.00010765171503957784,0.023951531278932053,0.08032258064516125,,,,,0.854875283446712,0.16859349456464376,0.6749583144834768,0.49340806451612906,,,,,,,,,,
run_20260919T201739Z_core,26,26,0,1.0,26,1.0,{'full_input': 26},323.7559371627867,418.89834363246337,110.0,173.25,{},26,26,0,1.0,20,0.7692307692307693,"{'full_input': 20, 'truncated_input': 6}",66.47170858923346,1003.0501872533932,66.4717085,1003.05018725,{},140,1.0,7.142857142857143e-06,0.0007178811323929571,,,,,,0.7571428571428571,0.21562979949999997,1.1486918279203666,,,,,,,,,,,
run_20260919T202139Z_full,31,31,0,1.0,31,1.0,{'full_input': 31},329.61054192855954,560.4678539093584,99.0,202.0,{},31,30,1,0.967741935483871,21,0.6774193548387096,"{'full_input': 21, 'truncated_input': 9, 'unsupported_cardinality': 1}",88.03652040660381,3730.996820679859,88.0365205,3730.996820649993,{'ValueError': 1},268,1.0,1.529850746268657e-05,0.0015375513805729753,,,,,,0.6567164179104478,0.24547777884328356,0.8869548023063016,,,,,,,,,,,
run_20260919T203758Z_calibration_full,5810,5810,0,1.0,5810,1.0,{'full_input': 5810},321.35535404086113,521.7604874749668,94.0,161.0,{},5810,5810,0,1.0,5810,1.0,{'full_input': 5810},13.638937496580184,21.73464804654941,13.6389375,21.7346481,{},5810,0.806304347826087,0.22685765217391304,1.4606278421241947,,0.07933866006590588,0.10181345460412634,0.300963509612455,0.11132347865628776,0.5941304347826087,0.31130561676086954,0.7194193307398087,,0.28921526769331657,0.3251593417925831,0.3426773060308825,0.10020888061340252,,,,,,
run_20260919T211437Z_semantic_full,1110,1110,0,1.0,1110,1.0,{'full_input': 1110},332.2584165725857,520.6135585904121,95.0,163.0,{},1110,1110,0,1.0,1110,1.0,{'full_input': 1110},18.34120857529342,39.560598134994486,18.3412085,39.56059809999998,{},1110,0.9036036036036036,0.1605952252252252,0.25185637294001995,,,,0.24068018018018014,0.07357904019622673,0.44054054054054054,0.6689597857927927,1.2066088611072505,,,,0.394030045045045,0.13106248791544486,0.677027027027027,0.8821171171171172,0.20509009009009008,0.677027027027027,0.4165203603603604,-0.26050666666666666
