suite,aligned_decisions,accuracy_jev,accuracy_laya,accuracy_semif,coverage_jev,coverage_laya,coverage_semif,wall_p50_ms_jev,wall_p50_ms_laya,wall_p50_ms_semif,prob_mae_jev,tv_jev,prob_mae_laya,tv_laya,prob_mae_semif,tv_semif,mean_top_prob_jev,mean_top_prob_laya,mean_top_prob_semif
architecture core,438,0.9885844748858448,0.860730593607306,1.0,1.0,0.9801980198019802,0.9900990099009901,332.4694170150906,12.755499919876456,163.86522899847478,,,,,,,,,
isolated core scaling,137,1.0,0.7737226277372263,1.0,1.0,0.7692307692307693,0.8846153846153846,323.7559371627867,66.47170858923346,554.0472499560565,,,,,,,,,
full boundary scaling,265,1.0,0.6641509433962264,0.9245283018867925,1.0,0.6774193548387096,0.8709677419354839,329.61054192855954,88.03652040660381,1504.8785409890115,,,,,,,,,
probability calibration,4600,0.806304347826087,0.5941304347826087,0.741304347826087,1.0,1.0,1.0,321.35535404086113,13.638937496580184,206.07047947123647,0.07933866006590588,0.300963509612455,0.28921526769331657,0.3426773060308825,0.25257861709412116,0.18310443763020745,,,
semantic,1110,0.9036036036036036,0.44054054054054054,0.690990990990991,1.0,1.0,1.0,332.2584165725857,18.34120857529342,208.4611045429483,,0.24068018018018014,,0.394030045045045,,0.3011550423405819,0.8821171171171172,0.4165203603603604,0.8514230673781965
