source_run,jev_total,jev_ok,jev_failed,jev_coverage,jev_comparable,jev_comparable_coverage,jev_compatibility_status,jev_wall_p50_ms,jev_wall_p95_ms,jev_upstream_p50_ms,jev_upstream_p95_ms,jev_failure_types,semif_total,semif_ok,semif_failed,semif_coverage,semif_comparable,semif_comparable_coverage,semif_compatibility_status,semif_wall_p50_ms,semif_wall_p95_ms,semif_upstream_p50_ms,semif_upstream_p95_ms,semif_failure_types,common_questions,accuracy_jev,brier_jev,nll_jev,score_mae_jev,prob_mae_jev,prob_rmse_jev,tv_jev,jsd_jev,accuracy_semif,brier_semif,nll_semif,score_mae_semif,prob_mae_semif,prob_rmse_semif,tv_semif,jsd_semif,semantic_jev_reference_top,semantic_jev_model_top,semantic_jev_gap,semantic_semif_reference_top,semantic_semif_model_top,semantic_semif_gap
run_20260919T201050Z_core,303,303,0,1.0,303,1.0,{'full_input': 303},332.4694170150906,572.6225915597751,99.0,165.69999999999993,{},303,300,3,0.9900990099009901,300,0.9900990099009901,"{'full_input': 300, 'unsupported_cardinality': 3}",163.86522899847478,526.1861185543239,163.865229,526.18611845,{'ValueError': 3},444,0.9887387387387387,0.00010680628272251309,0.023789696608128456,0.08032258064516125,,,,,1.0,0.0003375440786204406,0.0128402497187629,0.04016147801130674,,,,,,,,,,
run_20260919T201739Z_core,26,26,0,1.0,26,1.0,{'full_input': 26},323.7559371627867,418.89834363246337,110.0,173.25,{},26,23,3,0.8846153846153846,23,0.8846153846153846,"{'full_input': 23, 'unsupported_cardinality': 3}",554.0472499560565,5912.873350316659,554.04725,5912.8733503,{'ValueError': 3},143,1.0,6.993006993006993e-06,0.0007028206890560419,,,,,,1.0,0.0007775433445319026,0.015763596516336117,,,,,,,,,,,
run_20260919T202139Z_full,31,31,0,1.0,31,1.0,{'full_input': 31},329.61054192855954,560.4678539093584,99.0,202.0,{},31,27,4,0.8709677419354839,27,0.8709677419354839,"{'full_input': 27, 'unsupported_cardinality': 4}",1504.8785409890115,24978.012312436476,1504.878541,24978.0123125,{'ValueError': 4},274,1.0,1.4963503649635038e-05,0.0015038823722392607,,,,,,0.927007299270073,0.045275881560913,0.14614845716862113,,,,,,,,,,,
run_20260919T203758Z_calibration_full,5810,5810,0,1.0,5810,1.0,{'full_input': 5810},321.35535404086113,521.7604874749668,94.0,161.0,{},5810,5810,0,1.0,5810,1.0,{'full_input': 5810},206.07047947123647,264.50490014394745,206.0704795,264.50490014999997,{},5810,0.806304347826087,0.22685765217391304,1.4606278421241947,,0.07933866006590588,0.10181345460412634,0.300963509612455,0.11132347865628776,0.741304347826087,0.25031307716567774,0.6220890655103675,,0.25257861709412116,0.30674135116344003,0.18310443763020745,0.045434799203775696,,,,,,
run_20260919T211437Z_semantic_full,1110,1110,0,1.0,1110,1.0,{'full_input': 1110},332.2584165725857,520.6135585904121,95.0,163.0,{},1110,1110,0,1.0,1110,1.0,{'full_input': 1110},208.4611045429483,362.22345652058715,208.4611045,362.2234565499999,{},1110,0.9036036036036036,0.1605952252252252,0.25185637294001995,,,,0.24068018018018014,0.07357904019622673,0.690990990990991,0.3949174416718277,0.6828105568792733,,,,0.3011550423405819,0.09658372864632304,0.677027027027027,0.8821171171171172,0.20509009009009008,0.677027027027027,0.8514230673781965,0.1743960403511695
